absolute-value,0
addition-subtraction,1
algebra-functions,2
area-perimeter-and-volume,3
basic-geometry,4
biology,5
calculus,6
circle-properties,7
complex-numbers,8
congruent-triangles,9
conic-sections,10
decimals,11
exponents-radicals,12
factors-multiples,13
fractions,14
linear-equations-and-inequalitie,15
logical-reasoning,16
multiplication-division,17
nan,18
order-of-operations,19
parallel-and-perpendicular-lines,20
polynomials,21
probability,22
pythagorean-theorem,23
quadrilaterals-and-polygons,24
quadtratics,25
quantity-sense,26
rates-and-ratios,27
ratio-percentage,28
segments-and-angles,29
sequence_and_series,30
similar-triangle,31
solving-linear-equations-and-inequalities,32
statistics,33
systems-of-eq-and-ineq,34
telling-time,35
transformations,36
triangle-properties,37
trigonometry,38
unit-conversion,39
vectors-matrix,40
